"game_id","title","platform_key","platform_name","platform_short","platform_company","platform_generation","release_date","release_year","decade","developer","publisher","genre_detailed","genre_category","players_raw","players_min","players_max","rating_score_pct","rating_stars_5","description","rom_filename","rom_extension","rom_size_mb","has_cover_image","has_mix_image","has_screenshot","has_titlescreen","has_3d_box","has_backcover","has_marquee","has_fanart","cover_image_path","mix_image_path","screenshot_path","titlescreen_path","box3d_path","backcover_path","marquee_path"
"arcade_kiki-ippatsu-mayumi-chan","Kiki-ippatsu Mayumi-chan","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1988-01-01","1988","1980s","Sanritsu Denki","Victory","Unknown","Unknown","1","1","1","","","A mahjong game with cheerleaders and a password feature.","mayumi.zip","ZIP","0.14","true","true","true","true","true","true","true","false","covers/arcade/mayumi.png","miximages/arcade/mayumi.png","screenshots/arcade/mayumi.png","titlescreens/arcade/mayumi.png","3dboxes/arcade/mayumi.png","backcovers/arcade/mayumi.png","marquees/arcade/mayumi.png"
"arcade_m-4","M-4","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1977-01-01","1977","1970s","Midway","Midway","Shooter","Shooter","1-2","1","2","10","0.5","M-4 (c) 1977 Midway.  - TECHNICAL -  Game No. 626  Main CPU : 8080 (@ 1.9968 Mhz)  Screen orientation : Horizontal Video resolution : 256 x 224 pixels Screen refresh : 60.00 Hz Palette colors : 2  Players : 2 Control : 2-way joystick Buttons : 2  - TRIVIA","m4.zip","ZIP","0.01","true","true","true","true","true","false","true","true","covers/arcade/m4.png","miximages/arcade/m4.png","screenshots/arcade/m4.png","titlescreens/arcade/m4.png","3dboxes/arcade/m4.png","","marquees/arcade/m4.png"
"arcade_m-79-ambush","M-79 Ambush","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1977-01-01","1977","1970s","Unknown","RamTek","Shooter","Shooter","1-2","1","2","30","1.5","A really great action game! This is a shooting game where tanks, jeeps and motorcycles battle it out in front of the two cannons under U.N. observation. Bang! When the enemy is hit, an explosion sequence occurs complete with the sounds of gunfire, whistles and whines - the action goes on and on!","m79amb.zip","ZIP","0.01","true","true","true","true","true","true","true","false","covers/arcade/m79amb.png","miximages/arcade/m79amb.png","screenshots/arcade/m79amb.png","titlescreens/arcade/m79amb.png","3dboxes/arcade/m79amb.png","backcovers/arcade/m79amb.png","marquees/arcade/m79amb.png"
"arcade_m-a-c-h-3","M.A.C.H. 3","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1983-01-01","1983","1980s","Mylstar Electronics","Mylstar Electronics","Shoot'em Up","Shooter","1","1","1","90","4.5","In M.A.C.H. 3, you pilot either a Fighter plane or a Bomber plane and must fly around hitting targets on the ground or in the air while avoiding enemy fire. M.A.C.H. 3 used video footage from the laser disc and overlaid computer graphics for your ship and the enemy ships.","mach3.zip","ZIP","0.05","true","true","true","true","true","true","true","true","covers/arcade/mach3.png","miximages/arcade/mach3.png","screenshots/arcade/mach3.png","titlescreens/arcade/mach3.png","3dboxes/arcade/mach3.png","backcovers/arcade/mach3.png","marquees/arcade/mach3.png"
"arcade_m-i-a-missing-in-action","M.I.A.: Missing in Action","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1989-01-01","1989","1980s","Konami","Konami","Platform","Platformer","1-2","1","2","70","3.5","M.I.A. - Missing in Action © 1989 Konami.

M.I.A. Missing in Action is a horizontally-scrolling run 'n' gun platform game for one or two players in which Special Forces soldiers must penetrate enemy-packed combat zones to reach a POW compound and rescue captured prisoners. The rescued POWs must then be escorted safely through a final enemy-packed stage to the helicopter that awaits at the end. 

Players begin each stage armed with only a combat knife to protect them, but other weapons can be picked up from fallen enemy troops. The weapons are always carried by soldiers in red uniforms and range from an assault rifle, grenades, a flame-thrower and a bazooka. Players can carry more than one weapon and can cycle through them as needed. Each collected weapon has only a limited supply of shots.

The game's first four stages are presented in random order and may also be ""mirrored"", switching the action from from right-to-left instead of left-to-right, increasing the game's variety and adding replay value. The 'POW' and 'Helicopter' stages are always the last two stages, however. 

At the end of each stage players must fight off a wave of enemy troops as well as destroy gun emplacements and watch towers. Certain sections of each stage offer players a different route, with both platforms and underground tunnels that can be utilized and explored. At least one POW must be safely escorted to the rescue Chopper to complete the final mission, after which the game starts over with an increased level of difficulty.

The game consists of six stages:
War-torn battlefield
Airstrip
Jungle
Rail Yard
POW Base
Escort the POWs to the Helicopter

M.I.A. Missing in Action is the direct sequel to 1985's ""Green Beret"" but unlike its prequel, two-player games now have both players fighting side-by-side, rather than the alternating approach of the original game.","mia.zip","ZIP","0.51","true","true","true","true","true","true","true","true","covers/arcade/mia.png","miximages/arcade/mia.png","screenshots/arcade/mia.png","titlescreens/arcade/mia.png","3dboxes/arcade/mia.png","backcovers/arcade/mia.png","marquees/arcade/mia.png"
"arcade_ma-cheon-ru","Ma Cheon Ru","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1999-01-01","1999","1990s","SemiCom","SemiCom","Mahjong","Puzzle","1","1","1","60","3","Ma Cheon Ru is a Shanghai style Mahjong Korean game. How it works is that like in Shanghai, there is a specially-arranged pile of Mahjong tiles and you have to pick up all the tiles, with restrictions on which tiles can be picked up. Also like in Shanghai, the main restiction is that you can only pick up tiles that aren't covered by other tiles, and which have at least one of their horizontal sides untouched by other tiles, too.","mcheonru.zip","ZIP","1.2","true","true","true","true","true","true","true","false","covers/arcade/mcheonru.png","miximages/arcade/mcheonru.png","screenshots/arcade/mcheonru.png","titlescreens/arcade/mcheonru.png","3dboxes/arcade/mcheonru.png","backcovers/arcade/mcheonru.png","marquees/arcade/mcheonru.png"
"arcade_mace-the-dark-age","Mace: The Dark Age","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1996-01-01","1996","1990s","Atari","Atari","Fighting","Fighting","1-2","1","2","80","4","1-on-1 3-D fighting game. The best fighters from around a mediaeval type planet are gathered and dispatched on a quest to recover the mysterious Mace of Tanis from a dark magician called Asmodeus.","mace.zip","ZIP","0.4","true","true","true","true","true","false","true","false","covers/arcade/mace.png","miximages/arcade/mace.png","screenshots/arcade/mace.png","titlescreens/arcade/mace.png","3dboxes/arcade/mace.png","","marquees/arcade/mace.png"
"arcade_mach-breakers","Mach Breakers","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1995-01-01","1995","1990s","Namco","Namco","Sports","Sports","1-4","1","4","90","4.5","Futuristic Competitions sports game with seven selectable characters and fun challenge.","machbrkr.zip","ZIP","10.99","true","true","true","true","true","false","true","true","covers/arcade/machbrkr.png","miximages/arcade/machbrkr.png","screenshots/arcade/machbrkr.png","titlescreens/arcade/machbrkr.png","3dboxes/arcade/machbrkr.png","","marquees/arcade/machbrkr.png"
"arcade_macho-mouse","Macho Mouse","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1982-01-01","1982","1980s","Techstar","Techstar","Action / Labyrinth","Action","1-2","1","2","50","2.5","Become a mouse trapped in elaborate mazes trying to avoid the grips of hungry cats that will gobble you up on sight! As the awesome Macho Mouse you must move around the mazes quickly, leaving a trail of droppings in your wake and you must move around the entire maze to be able to escape out to the next trickier level. Keep your little mouse eyes peeled for any cats that lurk around looking for a free meal!","machomou.zip","ZIP","0.02","true","true","true","true","true","false","true","false","covers/arcade/machomou.png","miximages/arcade/machomou.png","screenshots/arcade/machomou.png","titlescreens/arcade/machomou.png","3dboxes/arcade/machomou.png","","marquees/arcade/machomou.png"
"arcade_macross-plus","Macross Plus","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1996-01-01","1996","1990s","Banpresto","Banpresto","Shoot'em Up / Vertical","Shooter","1-2","1","2","90","4.5","Macross Plus is a 2D vertically scrolling shooter, based on the Macross anime. The player can choose one from 3 characters: Isamu Dyson in his YF-19, Guld Bowman in his YF-21, and an unnamed female pilot in the VF-11. Gameplay is very straightforward - player flies forward and shoot enemies. He has gun, bombs and missiles (press shot to release missile attack - they have special homing system). The player can collect power-ups dropped by special enemies.","macrossp.zip","ZIP","15.28","true","true","true","true","true","false","true","true","covers/arcade/macrossp.png","miximages/arcade/macrossp.png","screenshots/arcade/macrossp.png","titlescreens/arcade/macrossp.png","3dboxes/arcade/macrossp.png","","marquees/arcade/macrossp.png"
